71	5	394	13b	9c	71
71	5	394	13b	9c	71
68	5	425	118	f8	68
460	1	362	13d	4	460
45	5	430	11c	3b	45
45	5	425	118	f8	45
45	5	430	11c	6c	45
45	5	456	133	e1	45
45	5	456	133	e2	45
45	5	430	11c	5c	45
45	5	430	11c	6e	45
45	5	430	11c	6e	45
45	5	430	11c	6d	45
31	5	379	13d	4	31
425	1	379	13d	4	425
299	5	379	13d	4	299
45	5	425	118	f8	45
71	5	444	128	a2	71
425	1	379	13d	4	425
45	5	425	118	f8	45
45	5	425	118	f8	45
425	1	379	13d	4	425
45	5	425	118	f8	45
45	5	425	118	f8	45
425	1	379	13d	4	425
425	1	379	13d	4	425
71	5	458	135	dd	71
71	5	394	13b	9c	71
451	1	352	13d	4	451
33	5	430	11c	5c	33
33	5	430	11c	4b	33
33	5	430	11c	6e	33
33	5	430	11c	64	33
33	5	430	11c	4b	33
425	1	379	13d	4	425
33	5	430	11c	4b	33
71	5	394	13b	9c	71
444	1	364	13d	4	444
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	458	135	dd	71
71	5	394	13b	9c	71
202	5	444	128	a1	202
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
71	5	394	13b	9c	71
202	5	444	128	a1	202
71	5	444	128	a2	71
68	5	425	118	f8	68
460	1	362	13d	4	460
71	5	458	135	dd	71
425	1	379	13d	4	425
45	5	425	118	f8	45
71	5	394	13b	9c	71
45	5	425	118	f8	45
122	5	444	128	a1	122
45	5	430	11c	3b	45
45	5	456	133	e2	45
45	5	430	11c	6d	45
45	5	430	11c	6c	45
45	5	430	11c	6e	45
45	5	456	133	e1	45
45	5	430	11c	5c	45
45	5	430	11c	6e	45
31	5	379	13d	4	31
299	5	379	13d	4	299
45	5	425	118	f8	45
425	1	379	13d	4	425
63	5	430	11c	17	63
300	5	425	118	26	300
425	1	379	13d	4	425
63	5	430	11c	17	63
45	5	425	118	f8	45
425	1	379	13d	4	425
45	5	425	118	f8	45
45	5	425	118	f8	45
425	1	379	13d	4	425
444	1	364	13d	4	444
444	1	364	13d	4	444
300	5	470	13f	b9	300
